capacity,failure_pct_change,routing_improvement_pct,price_of_priority_pct,found_divergent_route,failed_edge_betweenness,failed_edge_utilization
500,-0.0119444587540503,0.0023974901416750033,0.10961290906919499,True,0.0003508809123576667,0.12345408145799823
500,0.16049838006691994,0.003566885812715563,0.17406914861704473,True,0.0005183719772259974,1.016315361415141
500,0.18149582944107284,0.00027850819976717753,0.06477301485296696,True,0.00031559980444898536,0.43063165928385505
500,0.3496540459457963,0.0044127205352355045,0.17995548506979495,True,0.009239716711223676,0.7337776031041262
500,0.005370123276490762,0.0188103027229661,0.18135703731254657,True,0.006312837840472012,0.4210268648547669
500,0.09964027390022949,0.8715631624305772,0.1969650109502739,True,0.0033885017745241366,0.4556945823580444
500,0.0003924418750148273,0.002326558137143315,0.08506638290967755,True,0.00035116706895296974,0.002173482001415465
500,0.09763993279136393,0.00029711360983143063,0.06676681321787811,True,0.003121613762123124,0.4340324665209627
500,0.6988127470217798,0.0026195860635404317,0.07400805610952522,True,0.004230413089055782,0.3760203156366135
500,0.009377270319354473,0.0013845515659699948,0.12926943120640086,True,0.007435202054937215,0.12923411488785347
500,0.08289796533187206,0.026532837594980558,0.19277504204867024,True,0.0009844429722917685,0.5938961276441992
500,0.2868916139465595,3.1986244985862324,0.38669990670159055,True,0.014109482103515354,0.9423702011258094
500,-3.279419593159737e-05,0.002580966955689278,0.13754394895659416,True,0.00975857654598322,0.000812793175395303
500,0.053577945169203826,0.0008267776378235712,0.06576022214820572,True,0.0018070319174312663,0.14839586410177827
500,-0.14443858751923438,0.0019634660560581252,0.15425357878080243,True,0.00035116706895296974,0.4325229182816777
500,0.026166928395269285,0.014601664511098856,0.16366372691022626,True,0.001288593174162923,0.4757796361067275
500,0.021353003485093825,0.002359769567324191,0.2809623202994073,True,0.0019836217865165265,0.09756466887658528
500,0.3427433983694726,0.23245340881893717,0.359730791351211,True,0.0017798679945201987,0.36811404572735035
500,0.1283967024483298,0.0012140373270600573,0.12912252290638376,True,0.0022541660504964557,0.5237471831737298
500,-0.000771314093626557,0.002231818132919678,0.16988218742473593,True,0.0001194142744726676,0.1468476199307962
500,0.11009861033568275,2.628445365261984,0.2890346951398037,True,0.0004593827279107717,0.70110836438755
500,0.08415648048171576,0.02828536210454648,0.1874267334604413,True,9.90792644594248e-05,0.43508758718884666
500,0.23925011945942543,1.0997070235931252,0.09125459851250095,True,0.014946060920904246,1.0226154902599345
500,0.10707292100591258,1.93919483952078e-05,0.07539243062162815,True,0.005995799396827156,0.8744588496476725
500,0.08972140607783706,1.488189472289213,0.14282298393060028,True,0.0006149834252733696,0.43508758718884666
500,0.07350007307442863,0.0027224174838150258,0.11036990955635155,True,0.0003755224204160224,0.5035641366371901
500,0.4299022246159026,0.0016025683680136807,0.12852338653031603,True,0.024187045710676362,0.3097599104808294
