trial_seed,snapshot_index,failed_edge,failed_edge_betweenness,failed_edge_utilization,baseline_time,failure_time,failure_pct_change,emergency_od,found_divergent_route,routing_improvement_pct,price_of_priority_pct
59,1836,"(25, 129)",0.00481241594183895,0.21756554834168798,1047436.0387749608,1048818.889918611,0.13202249039162867,"(100, 72)",False,0.0,0.17411337596899726
60,2521,"(89, 151)",0.0021884024469503572,0.17125860840920193,1035784.0194884067,1036345.1769158016,0.05417706943113926,"(100, 72)",False,0.0,0.15457476981124144
61,4050,"(57, 175)",0.002840354669924294,0.4336314107212313,2213803.936422204,2215106.4529418377,0.0588361280872336,"(40, 58)",True,0.0003929995785398814,0.009819044785738106
62,4712,"(62, 13)",0.014946060920904246,0.8874979714003675,1039336.2748219493,1046177.9465689443,0.6582731607406862,"(166, 164)",True,0.01157689540648155,0.42895630581912747
63,3646,"(120, 139)",0.0020500106010493233,0.2567573710681618,1048261.8047679025,1049342.8044330096,0.10312306145185347,"(24, 94)",True,0.006116222071072041,0.08366055794997375
64,3900,"(33, 16)",0.003291268703952502,0.6330780480843853,1943013.329691704,1946185.4697634585,0.1632587910376249,"(166, 164)",True,0.043598940653471516,0.04361012097347895
65,3397,"(95, 120)",0.0017798679945201987,0.18405702286367517,1039916.8226795471,1043527.7173781295,0.34722918408783765,"(166, 164)",True,0.019835518235819125,0.4783741022901781
66,580,"(94, 39)",0.000591151800611167,0.017764050351763604,1041116.5413966173,1041130.0487677504,0.0012973928082016012,"(100, 72)",False,0.0,0.17603808505403926
67,612,"(36, 115)",0.00021264595319860966,0.08319280483196784,1113697.3495591485,1113758.6786384021,0.005506799426062732,"(100, 72)",False,0.0,0.1707707520042819
68,6075,"(129, 147)",0.00035116706895296974,0.21756554834168798,1041138.3660352083,1041875.249031394,0.0707766633355209,"(100, 72)",False,0.0,0.13887172548832108
69,5605,"(12, 191)",0.00018235336377046615,0.001810459924194616,1170588.040337389,1170590.7967988725,0.0002354766483546098,"(40, 58)",True,0.00046672057462762516,0.035232907965548385
70,970,"(87, 100)",2.91634947607932e-05,0.11949340077752303,1088585.5280811347,1089718.8190869128,0.10410674922123894,"(166, 164)",True,0.0024944538042825583,0.10989872389474498
72,601,"(167, 62)",0.0004148751801423466,0.2799009602326828,1052848.2623567104,1054181.0585995202,0.12658958469727674,"(166, 164)",True,0.05979839228093828,0.45660683484529013
74,5002,"(159, 187)",0.0005702765979158621,0.10580268453720569,1099986.1269625477,1100099.345823506,0.010292753534162716,"(100, 72)",False,0.0,0.20965223821107307
75,3693,"(168, 171)",0.0017384625353993877,0.1466102708104351,2040620.373028761,2040910.0516858543,0.014195617221216254,"(166, 164)",True,4.678142493957781e-05,0.08507111909339245
76,3035,"(117, 102)",0.007748963120177908,0.8016150569463479,1387042.305710439,1403182.7870960948,1.1636617945397558,"(166, 164)",True,0.004875639495781583,0.12403196086260306
